	abbreviation	name	equation	rule	Genes	Proteins	subsystem	reversible	lowbnd	uppbnd	obj_coef	Confidence.Score	EC.Number	Notes	References
33	r_0038	3,4-dihydroxy-2-butanone-4-phosphate synthase	s_0577  <=> s_0158 + s_0722 + s_0794	YDR487C	YDR487C	NA	NA	1	0	1000	0	NA		NA	
34	r_0039	3-dehydroquinate dehydratase	s_0210  <=> s_0211 + s_0803	YDR127W	YDR127W	NA	NA	1	0	1000	0	NA		NA	
35	r_0040	3-dehydroquinate synthase	s_0349  <=> s_0210 + s_1322	YDR127W	YDR127W	NA	NA	1	0	1000	0	NA		NA	
36	r_0041	3-dehydrosphinganine reductase	s_0231 + (2) s_0795 + s_1213  <=> s_1208 + s_1445	YBR265W	YBR265W	NA	NA	1	0	1000	0	NA		NA	
37	r_0042	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	s_0551 + s_0803 + s_1360  <=> s_0349 + s_1322	(YDR035W OR YBR249C)	YBR249C YDR035W	NA	NA	1	0	1000	0	NA		NA	
38	r_0043	3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase	s_0215 + (0.5) s_1275  <=> s_0212	(YPL252C OR YDR376W)	YPL252C YR376W	NA	NA	1	0	1000	0	NA		NA	21944752
39	r_0044	3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase	s_0214 + s_0799  <=> s_0157 + s_0460	(YDR538W AND YDR539W)	YDR538W YDR539W	NA	NA	1	0	1000	0	NA		NA	20471595
40	r_0045	3-hydroxy-L-kynurenine hydrolase	s_0222 + s_0803  <=> s_0224 + s_0955	YLR231C	YLR231C	NA	NA	1	0	1000	0	NA		NA	
41	r_0057	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	s_0054 + s_1202  <=> s_0257 + s_0801 + s_1206	YKR009C	YKR009C	NA	NA	1	0	1000	0	NA		NA	
42	r_0058	3-hydroxyanthranilate 3,4-dioxygenase	s_0224 + s_1275  <=> s_0147 + s_0794	YJR025C	YJR025C	NA	NA	1	0	1000	0	NA		NA	
43	r_0059	3-isopropylmalate 3-methyltransferase	s_0009 + s_1416  <=> s_0217 + s_1413	YER175C	YER175C	NA	NA	1	0	1000	0	NA		NA	
44	r_0060	3-isopropylmalate dehydratase	s_0009  <=> s_0165 + s_0803	YGL009C	YGL009C	NA	NA	1	-1000	1000	0	NA		NA	
45	r_0061	3-isopropylmalate dehydrogenase	s_0009 + s_1198  <=> s_0010 + s_0794 + s_1203	YCL018W	YCL018W	NA	NA	1	0	1000	0	NA		NA	
46	r_0062	3-methyl-2-oxobutanoate decarboxylase	s_0232 + s_0794  <=> s_0456 + s_0937	(YLR134W OR YGR087C OR YLR044C)	YGR087C YLR044C YLR134W	NA	NA	1	0	1000	0	NA		NA	
47	r_0063	3-methyl-2-oxobutanoate hydroxymethyltransferase	s_0233 + s_0307 + s_0807  <=> s_0150 + s_1488	YBR176W	YBR176W	NA	NA	1	0	1000	0	NA		NA	
48	r_0064	3-methyl-2-oxopentanoate decarboxylase	s_0056 + s_0794  <=> s_0166 + s_0456	(YLR134W OR YDL080C OR YGR087C OR YLR044C)	YDL080C YGR087C YLR044C YLR134W	NA	NA	1	0	1000	0	NA		NA	
49	r_0065	3-phosphoshikimate 1-carboxyvinyltransferase	s_0261 + s_1360  <=> s_0324 + s_1322	YDR127W	YDR127W	NA	NA	1	0	1000	0	NA		NA	
50	r_0066	4-amino-4-deoxychorismate synthase	s_0515 + s_0999  <=> s_0269 + s_0991	YNR033W	YNR033W	NA	NA	1	0	1000	0	NA		NA	
51	r_0067	4-aminobenzoate synthase	s_0269  <=> s_0271 + s_0794 + s_1399	YMR289W	YMR289W	NA	NA	1	0	1000	0	NA		NA	
52	r_0068	4-aminobutyrate transaminase	s_0180 + s_0734  <=> s_0991 + s_1461	YGR019W	YGR019W	NA	NA	1	0	1000	0	NA		NA	
53	r_0069	4-hydroxy-L-threonine synthase	s_0264 + s_0803  <=> s_0285 + s_1322	YCR053W	YCR053W	NA	NA	1	0	1000	0	NA		NA	
54	r_0070	4-hydroxybenzoate formation	s_0290 + s_0807  <=> s_0287 + s_0532 + s_0799			NA	NA	1	0	1000	0	NA		NA	
55	r_0072	4-methyl-2-oxopentanoate decarboxylase	s_0291 + s_0794  <=> s_0234 + s_0456	YDL080C	YDL080C	NA	NA	1	0	1000	0	NA		NA	
56	r_0073	4PP-IP5 depyrophosphorylation to IP6	s_0279 + s_0803  <=> (2) s_0794 + s_1158 + s_1322	(YOR163W OR YLR410W)	YLR410W YOR163W	NA	NA	1	-1000	1000	0	NA		NA	
57	r_0074	4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4	s_0279 + s_0434 + (2) s_0794  <=> s_0263 + s_0394 + s_0803	YDR017C	YDR017C	NA	NA	1	0	1000	0	NA		NA	
58	r_0075	5'-methylthioadenosine phosphorylase	s_0303 + s_1322  <=> s_0383 + s_1422	YLR017W	YLR017W	NA	NA	1	0	1000	0	NA		NA	
59	r_0076	5'-nucleotidase (CMP)	s_0526 + s_0803  <=> s_0543 + s_1322	(YER037W OR YGL224C)	YER037W YGL224C	NA	NA	1	0	1000	0	NA		NA	
60	r_0077	5'-nucleotidase (IMP)	s_0803 + s_0849  <=> s_0856 + s_1322	YOR155C	YOR155C	NA	NA	1	0	1000	0	NA		NA	
61	r_0078	5'-nucleotidase (UMP)	s_0803 + s_1545  <=> s_1322 + s_1556	(YER037W OR YGL224C)	YER037W YGL224C	NA	NA	1	0	1000	0	NA		NA	
62	r_0079	5'-phosphoribosylformyl glycinamidine synthetase	s_0301 + s_0434 + s_0803 + s_0999  <=> s_0302 + s_0394 + s_0794 + s_0991 + s_1322	YGR061C	YGR061C	NA	NA	1	0	1000	0	NA		NA	
63	r_0080	5,10-methylenetetrahydrofolate reductase (NADPH)	s_0306 + (2) s_0794 + s_1212  <=> s_0322 + s_1207	(YPL023C OR YGL125W)	YGL125W YPL023C	NA	NA	1	0	1000	0	NA		NA	
64	r_0081	5-aminolevulinate synthase	s_0799 + s_1005 + s_1464  <=> s_0317 + s_0460 + s_0532	YDR232W	YDR232W	NA	NA	1	0	1000	0	NA		NA	
65	r_0082	5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase	s_0318 + s_0803  <=> (2) s_0794 + s_1158 + s_1322	YOR163W	YOR163W	NA	NA	1	0	1000	0	NA		NA	
66	r_0083	5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase	s_0434 + s_0794 + s_1158  <=> s_0318 + s_0394	YDR017C	YDR017C	NA	NA	1	0	1000	0	NA		NA	
67	r_0084	5-formethyltetrahydrofolate cyclo-ligase	s_0319 + s_0434  <=> s_0304 + s_0394 + s_1322	YER183C	YER183C	NA	NA	1	0	1000	0	NA		NA	
68	r_0085	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase	s_0323 + s_1012  <=> s_1029 + s_1486	YER091C	YER091C	NA	NA	1	0	1000	0	NA		NA	
69	r_0086	5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase	s_1423  <=> s_0311 + s_0803	YJR024C	YJR024C	NA	NA	1	0	1000	0	NA		NA	18625006
70	r_0087	5-methylthioribose-1-phosphate isomerase	s_1422  <=> s_1423	YPR118W	YPR118W	NA	NA	1	-1000	1000	0	NA		NA	21734149
71	r_0088	5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4	s_0318 + (2) s_0794 + s_1322  <=> s_0263 + s_0803	YLR410W	YLR410W	NA	NA	1	-1000	1000	0	NA		NA	
72	r_0089	5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4	s_0318 + (2) s_0794 + s_1322  <=> s_0309 + s_0803	YLR410W	YLR410W	NA	NA	1	-1000	1000	0	NA		NA	
73	r_0090	6-phosphofructo-2-kinase	s_0434 + s_0557  <=> s_0394 + s_0442 + s_0794	(YOL136C OR YIL107C)	YIL107C YOL136C	NA	NA	1	0	1000	0	NA		NA	
74	r_0091	6-phosphogluconolactonase	s_0335 + s_0803  <=> s_0340 + s_0794	(YGR248W OR YHR163W)	YGR248W YHR163W	NA	NA	1	0	1000	0	NA		NA	
75	r_0092	6PP-IP5 depyrophosphorylation to IP6	s_0333 + s_0803  <=> (2) s_0794 + s_1158 + s_1322	(YOR163W OR YLR410W)	YLR410W YOR163W	NA	NA	1	-1000	1000	0	NA		NA	
76	r_0093	6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4	s_0333 + s_0434 + (2) s_0794  <=> s_0309 + s_0394 + s_0803	YDR017C	YDR017C	NA	NA	1	0	1000	0	NA		NA	
77	r_0094	8-amino-7-oxononanoate synthase	s_0955 + s_1368  <=> s_0352 + s_0456 + s_0529 + (4) s_0794	(YAR069W-A OR YHR214W-F)	YAR069W-A YHR214W-F	NA	NA	1	0	1000	0	NA		NA	18073433
78	r_0095	acetaldehyde condensation	(2) s_0359  <=> s_0020	(YLR134W OR YGR087C OR YLR044C)	YGR087C YLR044C YLR134W	NA	NA	1	0	1000	0	NA		NA	
79	r_0096	acetohydroxy acid isomeroreductase	s_0146 + s_0799 + s_1214  <=> s_0016 + s_1210	YLR355C	YLR355C	NA	NA	1	0	1000	0	NA		NA	
80	r_0097	acetolactate synthase	s_0799 + (2) s_1401  <=> s_0146 + s_0460	(YMR108W OR (YCL009C AND YMR108W))	YCL009C YMR108W	NA	NA	1	0	1000	0	NA		NA	
81	r_0099	acetyl-CoA ACP transacylase	s_0376 + s_1845  <=> s_0372 + s_0532	YKL192C	YKL192C	NA	NA	1	-1000	1000	0	NA		NA	
82	r_0100	acetyl-CoA C-acyltransferase (palmitoyl-CoA)	s_0250 + s_0534  <=> s_0378 + s_1305	YIL160C	YIL160C	NA	NA	1	0	1000	0	NA		NA	
83	r_0101	acetyl-CoA C-acyltransferase (tetracosanoyl-CoA)	s_0243 + s_0534  <=> s_0378 + s_1482	YIL160C	YIL160C	NA	NA	1	0	1000	0	NA		NA	
84	r_0102	acetyl-CoA C-acyltransferase (myristoyl-CoA)	s_0253 + s_0534  <=> s_0378 + s_1179	YIL160C	YIL160C	NA	NA	1	0	1000	0	NA		NA	
85	r_0103	acetyl-CoA C-acetyltransferase	(2) s_0373  <=> s_0367 + s_0529	YPL028W	YPL028W	NA	NA	1	0	1000	0	NA		NA	
86	r_0104	acetyl-CoA C-acetyltransferase	(2) s_0376  <=> s_0370 + s_0532	YPL028W	YPL028W	NA	NA	1	0	1000	0	NA		NA	
87	r_0105	acetyl-CoA C-acyltransferase (lauroyl-CoA)	s_0257 + s_0534  <=> s_0378 + s_1076	YIL160C	YIL160C	NA	NA	1	0	1000	0	NA		NA	
88	r_0106	acetyl-CoA C-acyltransferase (octanoyl-CoA)	s_0239 + s_0534  <=> s_0378 + s_1258	YIL160C	YIL160C	NA	NA	1	0	1000	0	NA		NA	
89	r_0107	acetyl-CoA C-acyltransferase (decanoyl-CoA)	s_0247 + s_0534  <=> s_0378 + s_0605	YIL160C	YIL160C	NA	NA	1	0	1000	0	NA		NA	
90	r_0108	acetyl-Coa carboxylase	s_0376 + s_0437 + s_0447  <=> s_0397 + s_0799 + s_1104 + s_1326	YMR207C	YMR207C	NA	NA	1	0	1000	0	NA		NA	
91	r_0109	acetyl-CoA carboxylase, reaction	s_0373 + s_0434 + s_0445  <=> s_0394 + s_0794 + s_1101 + s_1322	(YNR016C AND YDL141W)	YDL141W YNR016C	NA	NA	1	0	1000	0	NA		NA	
92	r_0111	acetyl-CoA hydrolase	s_0376 + s_0807  <=> s_0365 + s_0532 + s_0799	YBL015W	YBL015W	NA	NA	1	0	1000	0	NA		NA	
93	r_0112	acetyl-CoA synthetase	s_0362 + s_0434 + s_0529  <=> s_0373 + s_0423 + s_0633	(YAL054C OR YLR153C)	YAL054C YLR153C	NA	NA	1	0	1000	0	NA		NA	
94	r_0113	acetyl-CoA synthetase	s_0365 + s_0437 + s_0532  <=> s_0376 + s_0424 + s_0636	YAL054C	YAL054C	NA	NA	1	0	1000	0	NA		NA	
95	r_0114	acetyl-CoA synthetase nuclear	s_0366 + s_0438 + s_0533  <=> s_0377 + s_0425 + s_0637	YLR153C	YLR153C	NA	NA	1	0	1000	0	NA		NA	
96	r_0115	acetylglutamate kinase	s_0437 + s_1192  <=> s_0397 + s_1191	YER069W	YER069W	NA	NA	1	0	1000	0	NA		NA	
97	r_0116	acid phosphatase (secreted)	s_0715 + s_0805  <=> s_1324 + s_1406	(YBR093C OR YAR071W OR YBR092C OR YHR215W)	YAR071W YBR093C YBR092C YHR215W	NA	NA	1	0	0	0	NA		NA	8817921
98	r_0117	aconitase	s_0174  <=> s_0012	YPR002W	YPR002W	NA	NA	1	-1000	1000	0	NA		NA	
99	r_0118	acteylornithine transaminase	s_0145 + s_0993  <=> s_0182 + s_1182	YOL140W	YOL140W	NA	NA	1	0	1000	0	NA		NA	
100	r_0119	acyl carrier protein synthase	s_0532 + s_0807  <=> s_0392 + (2) s_0799 + s_1308	YPL148C	YPL148C	NA	NA	1	0	1000	0	NA		NA	
101	r_0120	acyl-CoA oxidase (decanoyl-CoA)	s_0605 + s_1279  <=> s_0840 + s_1507	YGL205W	YGL205W	NA	NA	1	0	1000	0	NA		NA	
102	r_0121	acyl-CoA oxidase (dodecanoyl-CoA)	s_1076 + s_1279  <=> s_0840 + s_1510	YGL205W	YGL205W	NA	NA	1	0	1000	0	NA		NA	
103	r_0122	acyl-CoA oxidase (hexacosanoyl-CoA)	s_0819 + s_1279  <=> s_0840 + s_1513	YGL205W	YGL205W	NA	NA	1	0	1000	0	NA		NA	
104	r_0123	acyl-CoA oxidase (hexadecanoyl-CoA)	s_1279 + s_1305  <=> s_0823 + s_0840	YGL205W	YGL205W	NA	NA	1	0	1000	0	NA		NA	
105	r_0124	acyl-CoA oxidase (octadecanoyl-CoA)	s_1279 + s_1457  <=> s_0840 + s_1516	YGL205W	YGL205W	NA	NA	1	0	1000	0	NA		NA	
106	r_0125	acyl-CoA oxidase (tetradecanoyl-CoA)	s_1179 + s_1279  <=> s_0840 + s_1519	YGL205W	YGL205W	NA	NA	1	0	1000	0	NA		NA	
107	r_0126	acyl-CoA:sterol acyltransferase (oleoyl-CoA:episterol), ER membrane	s_2821 + s_3432  <=> s_2785 + s_3433	YCR048W	YCR048W	NA	NA	1	-1000	1000	0	NA		NA	
108	r_0127	acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane	s_2821 + s_3441  <=> s_2785 + s_3442	(YCR048W OR YNR019W)	YCR048W YNR019W	NA	NA	1	-1000	1000	0	NA		NA	
109	r_0128	acyl-CoA:sterol acyltransferase (oleoyl-CoA:fecosterol), ER membrane	s_2821 + s_3435  <=> s_2785 + s_3436	YCR048W	YCR048W	NA	NA	1	-1000	1000	0	NA		NA	
110	r_0129	acyl-CoA:sterol acyltransferase (oleoyl-CoA:lanosterol), ER membrane	s_2821 + s_3438  <=> s_2785 + s_3439	YCR048W	YCR048W	NA	NA	1	-1000	1000	0	NA		NA	
111	r_0130	acyl-CoA:sterol acyltransferase (oleoyl-CoA:zymosterol), ER membrane	s_2821 + s_3444  <=> s_2785 + s_3445	YCR048W	YCR048W	NA	NA	1	-1000	1000	0	NA		NA	
112	r_0131	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:episterol), ER membrane	s_2819 + s_3432  <=> s_2785 + s_3434	YCR048W	YCR048W	NA	NA	1	-1000	1000	0	NA		NA	
113	r_0132	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane	s_2819 + s_3441  <=> s_2785 + s_3443	(YCR048W OR YNR019W)	YCR048W YNR019W	NA	NA	1	-1000	1000	0	NA		NA	
114	r_0133	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:fecosterol), ER membrane	s_2819 + s_3435  <=> s_2785 + s_3437	YCR048W	YCR048W	NA	NA	1	-1000	1000	0	NA		NA	
115	r_0134	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:lanosterol), ER membrane	s_2819 + s_3438  <=> s_2785 + s_3440	YCR048W	YCR048W	NA	NA	1	-1000	1000	0	NA		NA	
116	r_0135	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:zymosterol), ER membrane	s_2819 + s_3444  <=> s_2785 + s_3446	YCR048W	YCR048W	NA	NA	1	-1000	1000	0	NA		NA	
117	r_0137	acylation of GPI inositol at 2 position, GPI-anchor assembly, step 3	s_0329 + s_1303  <=> s_0330 + s_0530	YJL091C	YJL091C	NA	NA	1	-1000	1000	0	NA		NA	
118	r_0138	adenine deaminase	s_0383 + s_0794 + s_0803  <=> s_0419 + s_0843	YNL141W	YNL141W	NA	NA	1	0	1000	0	NA		NA	
119	r_0139	adenine phosphoribosyltransferase	s_0383 + s_1386  <=> s_0423 + s_0633	YML022W	YML022W	NA	NA	1	0	1000	0	NA		NA	
120	r_0140	adenosine deaminase	s_0386 + s_0794 + s_0803  <=> s_0419 + s_0856	YNL141W	YNL141W	NA	NA	1	0	1000	0	NA		NA	
121	r_0142	adenosine kinase	s_0386 + s_0434  <=> s_0394 + s_0423 + s_0794	YJR105W	YJR105W	NA	NA	1	0	1000	0	NA		NA	
122	r_0143	adenosine monophosphate deaminase	s_0423 + s_0794 + s_0803  <=> s_0419 + s_0849	YML035C	YML035C	NA	NA	1	0	1000	0	NA		NA	
123	r_0144	adenosylhomocysteinase	s_0803 + s_1413  <=> s_0386 + s_1012	YER043C	YER043C	NA	NA	1	0	1000	0	NA		NA	
124	r_0145	adenosylmethionine decarboxylase	s_0794 + s_1416  <=> s_0456 + s_1420	YOL052C	YOL052C	NA	NA	1	0	1000	0	NA		NA	
125	r_0146	adenosylmethionine-8-amino-7-oxononanoate transaminase	s_0352 + s_1416  <=> s_0341 + s_1412	YNR058W	YNR058W	NA	NA	1	-1000	1000	0	NA		NA	
126	r_0147	adenylate cyclase	s_0434  <=> s_0192 + s_0633	YJL005W	YJL005W	NA	NA	1	0	1000	0	NA		NA	
127	r_0148	adenylate kinase	s_0423 + s_0434  <=> (2) s_0394	YDR226W	YDR226W	NA	NA	1	0	1000	0	NA		NA	
128	r_0149	adenylate kinase	s_0424 + s_0437  <=> (2) s_0397	YER170W	YER170W	NA	NA	1	0	1000	0	NA		NA	
129	r_0150	adenylate kinase (GTP)	s_0424 + s_0786  <=> s_0397 + s_0741	YER170W	YER170W	NA	NA	1	-1000	1000	0	NA		NA	
130	r_0151	adenylosuccinate lyase (AICAR)	s_0299  <=> s_0403 + s_0725	YLR359W	YLR359W	NA	NA	1	0	1000	0	NA		NA	
131	r_0152	adenylosuccinate lyase	s_0393  <=> s_0423 + s_0725	YLR359W	YLR359W	NA	NA	1	-1000	1000	0	NA		NA	
132	r_0153	adenylosuccinate synthase	s_0785 + s_0849 + s_0973  <=> s_0393 + s_0739 + (2) s_0794 + s_1322	YNL220W	YNL220W	NA	NA	1	0	1000	0	NA		NA	
133	r_0154	adenylyl-sulfate kinase	s_0298 + s_0434  <=> s_0201 + s_0394 + s_0794	YKL001C	YKL001C	NA	NA	1	0	1000	0	NA		NA	
134	r_0155	ADP-ribose 2,3-cyclic phosphodiesterase	s_0131 + s_0794 + s_0803  <=> s_0389	YGR247W	YGR247W	NA	NA	1	0	1000	0	NA		NA	
135	r_0156	alanine glyoxylate aminotransferase	s_0779 + s_0955  <=> s_1003 + s_1399	YFL030W	YFL030W	NA	NA	1	0	1000	0	NA		NA	
136	r_0157	alanyl-tRNA synthetase	s_0434 + s_0955 + s_1582  <=> s_0404 + s_0423 + s_0633	YOR335C	YOR335C	NA	NA	1	0	1000	0	NA		NA	
137	r_0158	alcohol acetyltransferase (2-methylbutanol)	s_0169 + s_0373  <=> s_0172 + s_0529	(YGR177C OR YOR377W)	YGR177C YOR377W	NA	NA	1	0	1000	0	NA		NA	
138	r_0159	alcohol acetyltransferase (ethanol)	s_0373 + s_0680  <=> s_0529 + s_0685	(YGR177C OR YOR377W)	YGR177C YOR377W	NA	NA	1	0	1000	0	NA		NA	
139	r_0160	alcohol acetyltransferase (isoamyl alcohol)	s_0373 + s_0929  <=> s_0529 + s_0927	(YGR177C OR YOR377W)	YGR177C YOR377W	NA	NA	1	0	1000	0	NA		NA	
140	r_0161	alcohol acetyltransferase (isobutyl alcohol)	s_0373 + s_0932  <=> s_0529 + s_0935	(YGR177C OR YOR377W)	YGR177C YOR377W	NA	NA	1	0	1000	0	NA		NA	
141	r_0162	alcohol acetyltransferase (phenylethanol alcohol)	s_0185 + s_0373  <=> s_0529 + s_1316	(YGR177C OR YOR377W)	YGR177C YOR377W	NA	NA	1	0	1000	0	NA		NA	
